[2024-12-06T00:00:57.801+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T00:00:57.810+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: la_otra_schedule_scraper.scrape_la_otra_schedule manual__2024-12-06T00:00:57.124579+00:00 [queued]>
[2024-12-06T00:00:57.815+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: la_otra_schedule_scraper.scrape_la_otra_schedule manual__2024-12-06T00:00:57.124579+00:00 [queued]>
[2024-12-06T00:00:57.815+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-06T00:00:57.822+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_la_otra_schedule> on 2024-12-06 00:00:57.124579+00:00
[2024-12-06T00:00:57.826+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=126) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T00:00:57.827+0000] {standard_task_runner.py:72} INFO - Started process 127 to run task
[2024-12-06T00:00:57.827+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'la_otra_schedule_scraper', 'scrape_la_otra_schedule', 'manual__2024-12-06T00:00:57.124579+00:00', '--job-id', '619', '--raw', '--subdir', 'DAGS_FOLDER/dag_la_otra.py', '--cfg-path', '/tmp/tmptlaw4y15']
[2024-12-06T00:00:57.828+0000] {standard_task_runner.py:105} INFO - Job 619: Subtask scrape_la_otra_schedule
[2024-12-06T00:00:57.853+0000] {task_command.py:467} INFO - Running <TaskInstance: la_otra_schedule_scraper.scrape_la_otra_schedule manual__2024-12-06T00:00:57.124579+00:00 [running]> on host d88abb179e8d
[2024-12-06T00:00:57.892+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='la_otra_schedule_scraper' AIRFLOW_CTX_TASK_ID='scrape_la_otra_schedule' AIRFLOW_CTX_EXECUTION_DATE='2024-12-06T00:00:57.124579+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-06T00:00:57.124579+00:00'
[2024-12-06T00:00:57.893+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T00:00:58.200+0000] {logging_mixin.py:190} INFO - 20241203202400 +0100
[2024-12-06T00:00:58.201+0000] {logging_mixin.py:190} INFO - 20241203202400 +0100
[2024-12-06T00:00:58.201+0000] {logging_mixin.py:190} INFO - 20241203203000 +0100
[2024-12-06T00:00:58.201+0000] {logging_mixin.py:190} INFO - 20241203203000 +0100
[2024-12-06T00:00:58.201+0000] {logging_mixin.py:190} INFO - 20241203211600 +0100
[2024-12-06T00:00:58.201+0000] {logging_mixin.py:190} INFO - 20241203211600 +0100
[2024-12-06T00:00:58.201+0000] {logging_mixin.py:190} INFO - 20241203212900 +0100
[2024-12-06T00:00:58.202+0000] {logging_mixin.py:190} INFO - 20241203212900 +0100
[2024-12-06T00:00:58.202+0000] {logging_mixin.py:190} INFO - 20241203213600 +0100
[2024-12-06T00:00:58.202+0000] {logging_mixin.py:190} INFO - 20241203213600 +0100
[2024-12-06T00:00:58.202+0000] {logging_mixin.py:190} INFO - 20241203221100 +0100
[2024-12-06T00:00:58.202+0000] {logging_mixin.py:190} INFO - 20241203221100 +0100
[2024-12-06T00:00:58.203+0000] {logging_mixin.py:190} INFO - 20241203235900 +0100
[2024-12-06T00:00:58.203+0000] {logging_mixin.py:190} INFO - 20241203235900 +0100
[2024-12-06T00:00:58.203+0000] {logging_mixin.py:190} INFO - 20241204012800 +0100
[2024-12-06T00:00:58.203+0000] {logging_mixin.py:190} INFO - 20241204012800 +0100
[2024-12-06T00:00:58.203+0000] {logging_mixin.py:190} INFO - 20241204025300 +0100
[2024-12-06T00:00:58.203+0000] {logging_mixin.py:190} INFO - 20241204025300 +0100
[2024-12-06T00:00:58.204+0000] {logging_mixin.py:190} INFO - 20241204041400 +0100
[2024-12-06T00:00:58.204+0000] {logging_mixin.py:190} INFO - 20241204041400 +0100
[2024-12-06T00:00:58.204+0000] {logging_mixin.py:190} INFO - 20241204051000 +0100
[2024-12-06T00:00:58.204+0000] {logging_mixin.py:190} INFO - 20241204051000 +0100
[2024-12-06T00:00:58.204+0000] {logging_mixin.py:190} INFO - 20241204061400 +0100
[2024-12-06T00:00:58.205+0000] {logging_mixin.py:190} INFO - 20241204061400 +0100
[2024-12-06T00:00:58.205+0000] {logging_mixin.py:190} INFO - 20241204063000 +0100
[2024-12-06T00:00:58.205+0000] {logging_mixin.py:190} INFO - 20241204063000 +0100
[2024-12-06T00:00:58.206+0000] {logging_mixin.py:190} INFO - 20241204064400 +0100
[2024-12-06T00:00:58.206+0000] {logging_mixin.py:190} INFO - 20241204064400 +0100
[2024-12-06T00:00:58.206+0000] {logging_mixin.py:190} INFO - 20241204071300 +0100
[2024-12-06T00:00:58.207+0000] {logging_mixin.py:190} INFO - 20241204071300 +0100
[2024-12-06T00:00:58.207+0000] {logging_mixin.py:190} INFO - 20241204074000 +0100
[2024-12-06T00:00:58.207+0000] {logging_mixin.py:190} INFO - 20241204074000 +0100
[2024-12-06T00:00:58.207+0000] {logging_mixin.py:190} INFO - 20241204080600 +0100
[2024-12-06T00:00:58.208+0000] {logging_mixin.py:190} INFO - 20241204080600 +0100
[2024-12-06T00:00:58.208+0000] {logging_mixin.py:190} INFO - 20241204083600 +0100
[2024-12-06T00:00:58.208+0000] {logging_mixin.py:190} INFO - 20241204083600 +0100
[2024-12-06T00:00:58.208+0000] {logging_mixin.py:190} INFO - 20241204091400 +0100
[2024-12-06T00:00:58.209+0000] {logging_mixin.py:190} INFO - 20241204091400 +0100
