[2024-12-05T23:23:02.253+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T23:23:02.262+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: telemadrid_schedule_scraper.scrape_telemadrid_schedule manual__2024-12-05T23:23:01.194939+00:00 [queued]>
[2024-12-05T23:23:02.267+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: telemadrid_schedule_scraper.scrape_telemadrid_schedule manual__2024-12-05T23:23:01.194939+00:00 [queued]>
[2024-12-05T23:23:02.267+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-05T23:23:02.274+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_telemadrid_schedule> on 2024-12-05 23:23:01.194939+00:00
[2024-12-05T23:23:02.278+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=204) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T23:23:02.279+0000] {standard_task_runner.py:72} INFO - Started process 205 to run task
[2024-12-05T23:23:02.279+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'telemadrid_schedule_scraper', 'scrape_telemadrid_schedule', 'manual__2024-12-05T23:23:01.194939+00:00', '--job-id', '606', '--raw', '--subdir', 'DAGS_FOLDER/dag_telemadrid.py', '--cfg-path', '/tmp/tmp1za_y7tb']
[2024-12-05T23:23:02.281+0000] {standard_task_runner.py:105} INFO - Job 606: Subtask scrape_telemadrid_schedule
[2024-12-05T23:23:02.304+0000] {task_command.py:467} INFO - Running <TaskInstance: telemadrid_schedule_scraper.scrape_telemadrid_schedule manual__2024-12-05T23:23:01.194939+00:00 [running]> on host d88abb179e8d
[2024-12-05T23:23:02.347+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='telemadrid_schedule_scraper' AIRFLOW_CTX_TASK_ID='scrape_telemadrid_schedule' AIRFLOW_CTX_EXECUTION_DATE='2024-12-05T23:23:01.194939+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-05T23:23:01.194939+00:00'
[2024-12-05T23:23:02.348+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-05T23:23:02.617+0000] {logging_mixin.py:190} INFO - 20241204145500 +0100
[2024-12-05T23:23:02.618+0000] {logging_mixin.py:190} INFO - 20241204152200 +0100
[2024-12-05T23:23:02.618+0000] {logging_mixin.py:190} INFO - 20241204152200 +0100
[2024-12-05T23:23:02.618+0000] {logging_mixin.py:190} INFO - 20241204153000 +0100
[2024-12-05T23:23:02.618+0000] {logging_mixin.py:190} INFO - 20241204153000 +0100
[2024-12-05T23:23:02.618+0000] {logging_mixin.py:190} INFO - 20241204174000 +0100
[2024-12-05T23:23:02.619+0000] {logging_mixin.py:190} INFO - 20241204174000 +0100
[2024-12-05T23:23:02.619+0000] {logging_mixin.py:190} INFO - 20241204192600 +0100
[2024-12-05T23:23:02.619+0000] {logging_mixin.py:190} INFO - 20241204192600 +0100
[2024-12-05T23:23:02.619+0000] {logging_mixin.py:190} INFO - 20241204203000 +0100
[2024-12-05T23:23:02.619+0000] {logging_mixin.py:190} INFO - 20241204203000 +0100
[2024-12-05T23:23:02.620+0000] {logging_mixin.py:190} INFO - 20241204211600 +0100
[2024-12-05T23:23:02.620+0000] {logging_mixin.py:190} INFO - 20241204211600 +0100
[2024-12-05T23:23:02.620+0000] {logging_mixin.py:190} INFO - 20241204212900 +0100
[2024-12-05T23:23:02.620+0000] {logging_mixin.py:190} INFO - 20241204212900 +0100
[2024-12-05T23:23:02.620+0000] {logging_mixin.py:190} INFO - 20241204213700 +0100
[2024-12-05T23:23:02.621+0000] {logging_mixin.py:190} INFO - 20241204213700 +0100
[2024-12-05T23:23:02.621+0000] {logging_mixin.py:190} INFO - 20241204225000 +0100
[2024-12-05T23:23:02.621+0000] {logging_mixin.py:190} INFO - 20241204225000 +0100
[2024-12-05T23:23:02.621+0000] {logging_mixin.py:190} INFO - 20241205004500 +0100
[2024-12-05T23:23:02.622+0000] {logging_mixin.py:190} INFO - 20241205004500 +0100
[2024-12-05T23:23:02.622+0000] {logging_mixin.py:190} INFO - 20241205024100 +0100
[2024-12-05T23:23:02.622+0000] {logging_mixin.py:190} INFO - 20241205024100 +0100
[2024-12-05T23:23:02.622+0000] {logging_mixin.py:190} INFO - 20241205034100 +0100
[2024-12-05T23:23:02.623+0000] {logging_mixin.py:190} INFO - 20241205034100 +0100
[2024-12-05T23:23:02.623+0000] {logging_mixin.py:190} INFO - 20241205043900 +0100
[2024-12-05T23:23:02.623+0000] {logging_mixin.py:190} INFO - 20241205043900 +0100
[2024-12-05T23:23:02.623+0000] {logging_mixin.py:190} INFO - 20241205044900 +0100
[2024-12-05T23:23:02.623+0000] {logging_mixin.py:190} INFO - 20241205044900 +0100
[2024-12-05T23:23:02.624+0000] {logging_mixin.py:190} INFO - 20241205060000 +0100
[2024-12-05T23:23:02.624+0000] {logging_mixin.py:190} INFO - 20241205060000 +0100
[2024-12-05T23:23:02.624+0000] {logging_mixin.py:190} INFO - 20241205063000 +0100
[2024-12-05T23:23:02.625+0000] {logging_mixin.py:190} INFO - 20241205064000 +0100
[2024-12-05T23:23:02.625+0000] {logging_mixin.py:190} INFO - 20241205064900 +0100
[2024-12-05T23:23:02.625+0000] {logging_mixin.py:190} INFO - 20241205064900 +0100
[2024-12-05T23:23:02.626+0000] {logging_mixin.py:190} INFO - 20241205070000 +0100
[2024-12-05T23:23:02.626+0000] {logging_mixin.py:190} INFO - 20241205070000 +0100
[2024-12-05T23:23:02.626+0000] {logging_mixin.py:190} INFO - 20241205112000 +0100
[2024-12-05T23:23:02.626+0000] {logging_mixin.py:190} INFO - 20241205112000 +0100
[2024-12-05T23:23:02.626+0000] {logging_mixin.py:190} INFO - 20241205140000 +0100
[2024-12-05T23:23:02.627+0000] {logging_mixin.py:190} INFO - 20241205140000 +0100
[2024-12-05T23:23:02.627+0000] {logging_mixin.py:190} INFO - 20241205145500 +0100
[2024-12-05T23:23:02.627+0000] {logging_mixin.py:190} INFO - 20241205145500 +0100
[2024-12-05T23:23:02.627+0000] {logging_mixin.py:190} INFO - 20241205152100 +0100
[2024-12-05T23:23:02.627+0000] {logging_mixin.py:190} INFO - 20241205152100 +0100
[2024-12-05T23:23:02.628+0000] {logging_mixin.py:190} INFO - 20241205152900 +0100
[2024-12-05T23:23:02.628+0000] {logging_mixin.py:190} INFO - 20241205152900 +0100
[2024-12-05T23:23:02.628+0000] {logging_mixin.py:190} INFO - 20241205171100 +0100
[2024-12-05T23:23:02.628+0000] {logging_mixin.py:190} INFO - 20241205171100 +0100
[2024-12-05T23:23:02.629+0000] {logging_mixin.py:190} INFO - 20241205190600 +0100
[2024-12-05T23:23:02.629+0000] {logging_mixin.py:190} INFO - 20241205190600 +0100
[2024-12-05T23:23:02.629+0000] {logging_mixin.py:190} INFO - 20241205203000 +0100
[2024-12-05T23:23:02.629+0000] {logging_mixin.py:190} INFO - 20241205203000 +0100
[2024-12-05T23:23:02.629+0000] {logging_mixin.py:190} INFO - 20241205211600 +0100
[2024-12-05T23:23:02.630+0000] {logging_mixin.py:190} INFO - 20241205211600 +0100
[2024-12-05T23:23:02.630+0000] {logging_mixin.py:190} INFO - 20241205213000 +0100
[2024-12-05T23:23:02.630+0000] {logging_mixin.py:190} INFO - 20241205213000 +0100
[2024-12-05T23:23:02.630+0000] {logging_mixin.py:190} INFO - 20241205213700 +0100
[2024-12-05T23:23:02.631+0000] {logging_mixin.py:190} INFO - 20241205213700 +0100
[2024-12-05T23:23:02.631+0000] {logging_mixin.py:190} INFO - 20241205223100 +0100
[2024-12-05T23:23:02.631+0000] {logging_mixin.py:190} INFO - 20241205223100 +0100
[2024-12-05T23:23:02.631+0000] {logging_mixin.py:190} INFO - 20241205235100 +0100
[2024-12-05T23:23:02.632+0000] {logging_mixin.py:190} INFO - 20241205235100 +0100
[2024-12-05T23:23:02.632+0000] {logging_mixin.py:190} INFO - 20241205235200 +0100
[2024-12-05T23:23:02.632+0000] {logging_mixin.py:190} INFO - 20241205235200 +0100
[2024-12-05T23:23:02.632+0000] {logging_mixin.py:190} INFO - 20241206002500 +0100
[2024-12-05T23:23:02.633+0000] {logging_mixin.py:190} INFO - 20241206002500 +0100
[2024-12-05T23:23:02.633+0000] {logging_mixin.py:190} INFO - 20241206023100 +0100
[2024-12-05T23:23:02.633+0000] {logging_mixin.py:190} INFO - 20241206023100 +0100
[2024-12-05T23:23:02.633+0000] {logging_mixin.py:190} INFO - 20241206032800 +0100
[2024-12-05T23:23:02.633+0000] {logging_mixin.py:190} INFO - 20241206032800 +0100
[2024-12-05T23:23:02.634+0000] {logging_mixin.py:190} INFO - 20241206042600 +0100
[2024-12-05T23:23:02.634+0000] {logging_mixin.py:190} INFO - 20241206042600 +0100
[2024-12-05T23:23:02.634+0000] {logging_mixin.py:190} INFO - 20241206043600 +0100
[2024-12-05T23:23:02.634+0000] {logging_mixin.py:190} INFO - 20241206043600 +0100
[2024-12-05T23:23:02.634+0000] {logging_mixin.py:190} INFO - 20241206053600 +0100
[2024-12-05T23:23:02.635+0000] {logging_mixin.py:190} INFO - 20241206053600 +0100
[2024-12-05T23:23:02.635+0000] {logging_mixin.py:190} INFO - 20241206061600 +0100
[2024-12-05T23:23:02.635+0000] {logging_mixin.py:190} INFO - 20241206061600 +0100
[2024-12-05T23:23:02.635+0000] {logging_mixin.py:190} INFO - 20241206062300 +0100
[2024-12-05T23:23:02.635+0000] {logging_mixin.py:190} INFO - 20241206062300 +0100
[2024-12-05T23:23:02.636+0000] {logging_mixin.py:190} INFO - 20241206063000 +0100
[2024-12-05T23:23:02.636+0000] {logging_mixin.py:190} INFO - 20241206063000 +0100
[2024-12-05T23:23:02.636+0000] {logging_mixin.py:190} INFO - 20241206072100 +0100
[2024-12-05T23:23:02.637+0000] {logging_mixin.py:190} INFO - 20241206072100 +0100
[2024-12-05T23:23:02.637+0000] {logging_mixin.py:190} INFO - 20241206083000 +0100
[2024-12-05T23:23:02.637+0000] {logging_mixin.py:190} INFO - 20241206083000 +0100
[2024-12-05T23:23:02.637+0000] {logging_mixin.py:190} INFO - 20241206112000 +0100
[2024-12-05T23:23:02.638+0000] {logging_mixin.py:190} INFO - 20241206112000 +0100
[2024-12-05T23:23:02.638+0000] {logging_mixin.py:190} INFO - 20241206140000 +0100
[2024-12-05T23:23:02.638+0000] {logging_mixin.py:190} INFO - 20241206140000 +0100
[2024-12-05T23:23:02.638+0000] {logging_mixin.py:190} INFO - 20241206145500 +0100
[2024-12-05T23:23:02.638+0000] {logging_mixin.py:190} INFO - 20241206145500 +0100
[2024-12-05T23:23:02.638+0000] {logging_mixin.py:190} INFO - 20241206152100 +0100
[2024-12-05T23:23:02.639+0000] {logging_mixin.py:190} INFO - 20241206152100 +0100
[2024-12-05T23:23:02.639+0000] {logging_mixin.py:190} INFO - 20241206152900 +0100
[2024-12-05T23:23:02.639+0000] {logging_mixin.py:190} INFO - 20241206152900 +0100
[2024-12-05T23:23:02.639+0000] {logging_mixin.py:190} INFO - 20241206172700 +0100
[2024-12-05T23:23:02.639+0000] {logging_mixin.py:190} INFO - 20241206172700 +0100
[2024-12-05T23:23:02.640+0000] {logging_mixin.py:190} INFO - 20241206191800 +0100
[2024-12-05T23:23:02.640+0000] {logging_mixin.py:190} INFO - 20241206191800 +0100
[2024-12-05T23:23:02.640+0000] {logging_mixin.py:190} INFO - 20241206203000 +0100
[2024-12-05T23:23:02.640+0000] {logging_mixin.py:190} INFO - 20241206203000 +0100
[2024-12-05T23:23:02.640+0000] {logging_mixin.py:190} INFO - 20241206211600 +0100
[2024-12-05T23:23:02.641+0000] {logging_mixin.py:190} INFO - 20241206211600 +0100
[2024-12-05T23:23:02.641+0000] {logging_mixin.py:190} INFO - 20241206212900 +0100
[2024-12-05T23:23:02.641+0000] {logging_mixin.py:190} INFO - 20241206212900 +0100
[2024-12-05T23:23:02.641+0000] {logging_mixin.py:190} INFO - 20241206213600 +0100
[2024-12-05T23:23:02.641+0000] {logging_mixin.py:190} INFO - 20241206213600 +0100
[2024-12-05T23:23:02.642+0000] {logging_mixin.py:190} INFO - 20241206222900 +0100
[2024-12-05T23:23:02.642+0000] {logging_mixin.py:190} INFO - 20241206222900 +0100
[2024-12-05T23:23:02.642+0000] {logging_mixin.py:190} INFO - 20241207001000 +0100
[2024-12-05T23:23:02.642+0000] {logging_mixin.py:190} INFO - 20241207001000 +0100
[2024-12-05T23:23:02.642+0000] {logging_mixin.py:190} INFO - 20241207021100 +0100
[2024-12-05T23:23:02.643+0000] {logging_mixin.py:190} INFO - 20241207021100 +0100
[2024-12-05T23:23:02.643+0000] {logging_mixin.py:190} INFO - 20241207030600 +0100
[2024-12-05T23:23:02.643+0000] {logging_mixin.py:190} INFO - 20241207030600 +0100
[2024-12-05T23:23:02.643+0000] {logging_mixin.py:190} INFO - 20241207040300 +0100
[2024-12-05T23:23:02.643+0000] {logging_mixin.py:190} INFO - 20241207040300 +0100
[2024-12-05T23:23:02.644+0000] {logging_mixin.py:190} INFO - 20241207043400 +0100
[2024-12-05T23:23:02.644+0000] {logging_mixin.py:190} INFO - 20241207043400 +0100
[2024-12-05T23:23:02.644+0000] {logging_mixin.py:190} INFO - 20241207053900 +0100
[2024-12-05T23:23:02.644+0000] {logging_mixin.py:190} INFO - 20241207053900 +0100
[2024-12-05T23:23:02.644+0000] {logging_mixin.py:190} INFO - 20241207061900 +0100
[2024-12-05T23:23:02.645+0000] {logging_mixin.py:190} INFO - 20241207061900 +0100
[2024-12-05T23:23:02.645+0000] {logging_mixin.py:190} INFO - 20241207062400 +0100
[2024-12-05T23:23:02.645+0000] {logging_mixin.py:190} INFO - 20241207062400 +0100
[2024-12-05T23:23:02.645+0000] {logging_mixin.py:190} INFO - 20241207063000 +0100
[2024-12-05T23:23:02.646+0000] {logging_mixin.py:190} INFO - 20241207063000 +0100
[2024-12-05T23:23:02.646+0000] {logging_mixin.py:190} INFO - 20241207064400 +0100
[2024-12-05T23:23:02.646+0000] {logging_mixin.py:190} INFO - 20241207064400 +0100
[2024-12-05T23:23:02.646+0000] {logging_mixin.py:190} INFO - 20241207075200 +0100
[2024-12-05T23:23:02.647+0000] {logging_mixin.py:190} INFO - 20241207075200 +0100
[2024-12-05T23:23:02.647+0000] {logging_mixin.py:190} INFO - 20241207092300 +0100
[2024-12-05T23:23:02.647+0000] {logging_mixin.py:190} INFO - 20241207092300 +0100
[2024-12-05T23:23:02.648+0000] {logging_mixin.py:190} INFO - 20241207095100 +0100
[2024-12-05T23:23:02.648+0000] {logging_mixin.py:190} INFO - 20241207095100 +0100
[2024-12-05T23:23:02.648+0000] {logging_mixin.py:190} INFO - 20241207114200 +0100
[2024-12-05T23:23:02.648+0000] {logging_mixin.py:190} INFO - 20241207114200 +0100
[2024-12-05T23:23:02.649+0000] {logging_mixin.py:190} INFO - 20241207120800 +0100
[2024-12-05T23:23:02.649+0000] {logging_mixin.py:190} INFO - 20241207120800 +0100
[2024-12-05T23:23:02.649+0000] {logging_mixin.py:190} INFO - 20241207123400 +0100
[2024-12-05T23:23:02.649+0000] {logging_mixin.py:190} INFO - 20241207123400 +0100
[2024-12-05T23:23:02.650+0000] {logging_mixin.py:190} INFO - 20241207140000 +0100
[2024-12-05T23:23:02.650+0000] {logging_mixin.py:190} INFO - 20241207140000 +0100
[2024-12-05T23:23:02.650+0000] {logging_mixin.py:190} INFO - 20241207150700 +0100
[2024-12-05T23:23:02.650+0000] {logging_mixin.py:190} INFO - 20241207150700 +0100
[2024-12-05T23:23:02.651+0000] {logging_mixin.py:190} INFO - 20241207152900 +0100
[2024-12-05T23:23:02.651+0000] {logging_mixin.py:190} INFO - 20241207152900 +0100
[2024-12-05T23:23:02.651+0000] {logging_mixin.py:190} INFO - 20241207154000 +0100
[2024-12-05T23:23:02.651+0000] {logging_mixin.py:190} INFO - 20241207154000 +0100
